Datetime,A_Optimal - Voltage DC [V],A_Optimal - Current DC [A],A_Optimal - Power DC [W],A_Optimal - Temperature [C],Ambient Temperature [C],Global Radiation [W/m2],Ultraviolet [W/m2],Wind Velocity [m/s],Wind Direction [Deg],Precipitation [mm],day_of_year,hour_and_minute,A_Optimal - Power DC [W]_shift_1440,y_truth,y_pred
2017-10-29 09:45:00,28.10666666666667,5.744666666666666,161.45731666666669,34.559999999999995,21.93888893333333,501.446,27.780210399999998,1.7744444666666666,91.25630186666667,0.0,302.0,9.866666666666667,160.14623333333333,160.14624,139.96037
2017-10-29 10:00:00,27.996666666666666,6.0600000000000005,169.651675,35.00666666666667,22.098887866666665,533.1002,30.052628799999997,1.8377778,100.7315608,0.0,302.0,10.116666666666667,168.29576666666665,168.29576,142.14795
2017-10-29 10:15:00,27.810000000000002,6.368166666666667,177.09746666666666,37.10666666666667,22.3344444,557.4093200000001,32.213726533333336,2.061111133333333,122.80423253333333,0.0,302.0,10.366666666666667,176.31445,176.31445,165.90457
2017-10-29 10:30:00,27.88,6.606333333333334,184.16830833333333,36.07333333333334,22.081111333333336,582.297768,34.15617613333334,2.635555666666667,123.49845973333332,0.0,302.0,10.616666666666667,182.81084166666668,182.81084,165.90501
2017-10-29 10:45:00,27.693333333333335,6.849333333333334,189.66837500000003,37.36666666666667,22.251111066666667,612.6442133333333,36.019432800000004,2.3500001333333334,120.23805893333333,0.0,302.0,10.866666666666667,186.75098333333332,186.75098,165.90501
2017-10-29 11:00:00,27.603333333333335,7.048166666666666,194.54958333333335,37.65333333333333,22.457778266666665,649.4440693333333,37.54604426666666,2.362222266666667,125.002012,0.0,302.0,11.116666666666667,191.47796666666667,191.47797,165.90501
2017-10-29 11:15:00,27.39,7.207333333333334,197.40197500000002,38.35333333333333,22.7311108,667.9429973333333,38.8821568,2.589999933333333,122.020192,0.0,302.0,11.366666666666667,196.39073333333332,196.39073,165.90501
2017-10-29 11:30:00,27.533333333333335,7.291166666666667,200.74245000000002,37.986666666666665,22.7,676.8689706666667,39.863398133333334,2.5833333333333335,124.04858266666666,0.0,302.0,11.616666666666667,196.6896416666667,196.68964,165.90501
2017-10-29 11:45:00,27.496666666666666,7.365333333333334,202.51875,37.82666666666667,22.827778133333332,687.1387520000001,40.426477866666666,2.8444446,132.624988,0.0,302.0,11.866666666666667,197.82552500000003,197.82553,165.90501
2017-10-29 12:00:00,27.583333333333332,7.391583333333333,203.88422916666664,36.8,22.8311112,694.6256426666666,40.79627013333334,2.8811114,137.73417066666667,0.0,302.0,12.116666666666667,199.49723333333336,199.49724,165.90501
2017-10-29 12:15:00,27.53666666666667,7.392833333333333,203.566725,36.806666666666665,22.624444533333335,694.781072,40.7978032,3.0122223999999997,131.74308133333335,0.0,302.0,12.366666666666667,198.14329166666667,198.1433,165.90498
2017-10-29 12:30:00,27.416666666666668,7.326833333333334,200.87498333333332,38.43333333333333,22.6955548,685.2105653333333,40.418710133333335,2.7544447333333335,135.24220533333335,0.0,302.0,12.616666666666667,189.465225,189.46523,165.90497
2017-10-29 12:45:00,27.516666666666666,7.224,198.77473333333333,37.65333333333333,22.62222213333333,671.270848,39.75659013333333,2.8811112,130.444928,0.0,302.0,12.866666666666667,191.48395416666665,191.48395,162.55731
2017-10-29 13:00:00,27.496666666666666,7.060666666666666,194.14424999999997,38.56666666666667,22.677777733333336,640.49044,38.7509464,2.4911111999999997,126.03716266666667,0.0,302.0,13.116666666666667,181.541875,181.54187,162.05946
2017-10-29 13:15:00,27.573333333333334,6.911833333333333,190.5756,38.34,22.780000533333336,639.9521386666668,37.6383464,2.732222333333333,155.03411066666666,0.0,302.0,13.366666666666667,187.16433333333333,187.16434,161.4801
2017-10-29 13:30:00,27.503333333333334,6.726166666666667,184.99315833333333,38.846666666666664,22.9755552,623.0657653333333,36.30339493333334,2.1744445333333333,130.68987733333333,0.0,302.0,13.616666666666667,178.0308,178.0308,145.68025
2017-10-29 13:45:00,27.44333333333333,6.5085,178.59896666666666,39.16,22.805555599999998,594.5711173333333,34.70059173333333,2.5077778666666664,154.737224,0.0,302.0,13.866666666666667,160.366325,160.36632,145.10281
2017-10-29 14:00:00,27.64,6.228166666666667,172.138125,38.38666666666666,22.874445066666667,562.9776533333334,32.8568832,2.2333334666666667,164.0872666666667,0.0,302.0,14.116666666666667,181.088075,181.08807,140.92421
2017-10-29 14:15:00,27.740000000000002,5.912999999999999,164.02525,38.093333333333334,22.653333466666666,539.7137066666667,30.737727733333333,2.3422222666666666,154.18358266666667,0.0,302.0,14.366666666666667,107.17829166666667,107.17829,137.549
